com. autonoma,provincia,descripción,precio,habitaciones,m²
Castilla-La Mancha,Cuenca,Piso,60000,3,90
Castilla-La Mancha,Cuenca,Piso,26000,2,135
Castilla-La Mancha,Cuenca,Chalet,86000,3,135
Castilla-La Mancha,Cuenca,Chalet,86000,4,222
Castilla-La Mancha,Cuenca,Casa,55000,4,180
Castilla-La Mancha,Cuenca,Chalet,37000,3,225
Castilla-La Mancha,Cuenca,Piso,104500,3,106
Castilla-La Mancha,Cuenca,Piso,130000,4,134
Castilla-La Mancha,Cuenca,Piso,52630,3,115
Castilla-La Mancha,Cuenca,Piso,172000,4,105
Castilla-La Mancha,Cuenca,Chalet,55000,7,228
Castilla-La Mancha,Cuenca,Piso,150000,4,125
Castilla-La Mancha,Cuenca,Piso,118000,3,95
Castilla-La Mancha,Cuenca,Casa,15500,3,232
Castilla-La Mancha,Cuenca,Chalet,137900,4,160
Castilla-La Mancha,Cuenca,Chalet,49900,3,115
Castilla-La Mancha,Cuenca,Chalet,360000,4,375
Castilla-La Mancha,Cuenca,Ático,65000,3,65
Castilla-La Mancha,Cuenca,Piso,100000,3,109
Castilla-La Mancha,Cuenca,Chalet,205000,4,460
Castilla-La Mancha,Cuenca,Chalet,300000,5,223
Castilla-La Mancha,Cuenca,Chalet,185000,5,159
Castilla-La Mancha,Cuenca,Chalet,99750,4,250
Castilla-La Mancha,Cuenca,Piso,139000,2,75
Castilla-La Mancha,Cuenca,Chalet,78000,4,138
Castilla-La Mancha,Cuenca,Piso,65000,3,136
Castilla-La Mancha,Cuenca,Chalet,330000,4,333
Castilla-La Mancha,Cuenca,Chalet,51500,3,138
Castilla-La Mancha,Cuenca,Piso,136000,3,125
Castilla-La Mancha,Cuenca,Chalet,99000,5,344
Castilla-La Mancha,Cuenca,Casa,68000,3,80
Castilla-La Mancha,Cuenca,Caserón,950000,3,759
Castilla-La Mancha,Cuenca,Chalet,60000,4,200
Castilla-La Mancha,Cuenca,Chalet,240000,6,584
Castilla-La Mancha,Cuenca,Chalet,155000,3,292
Castilla-La Mancha,Cuenca,Chalet,38000,3,206
Castilla-La Mancha,Cuenca,Chalet,90000,3,150
Castilla-La Mancha,Cuenca,Chalet,13000,3,148
Castilla-La Mancha,Cuenca,Casa,10000,9,390
Castilla-La Mancha,Cuenca,Piso,159000,3,188
Castilla-La Mancha,Cuenca,Piso,159000,3,105
Castilla-La Mancha,Cuenca,Piso,200000,3,97
Castilla-La Mancha,Cuenca,Piso,187000,3,91
Castilla-La Mancha,Cuenca,Chalet,309000,4,235
Castilla-La Mancha,Cuenca,Chalet,86700,8,385
Castilla-La Mancha,Cuenca,Piso,144000,4,100
Castilla-La Mancha,Cuenca,Chalet,78000,3,140
Castilla-La Mancha,Cuenca,Chalet,299,5,465
Castilla-La Mancha,Cuenca,Chalet,54900,3,154
Castilla-La Mancha,Cuenca,Piso,46000,3,60
Castilla-La Mancha,Cuenca,Chalet,95000,4,300
Castilla-La Mancha,Cuenca,Chalet,135000,3,135
Castilla-La Mancha,Cuenca,Chalet,40000,3,202
Castilla-La Mancha,Cuenca,Chalet,115000,4,157
Castilla-La Mancha,Cuenca,Chalet,12200,3,168
Castilla-La Mancha,Cuenca,Piso,205000,3,95
Castilla-La Mancha,Cuenca,Piso,33000,2,78
Castilla-La Mancha,Cuenca,Chalet,160000,4,262
Castilla-La Mancha,Cuenca,Chalet,465000,3,370
Castilla-La Mancha,Cuenca,Chalet,69900,3,170
Castilla-La Mancha,Cuenca,Piso,194000,3,103
Castilla-La Mancha,Cuenca,Piso,160000,4,188
Castilla-La Mancha,Cuenca,Chalet,139000,3,200
Castilla-La Mancha,Cuenca,Piso,210000,2,94
Castilla-La Mancha,Cuenca,Chalet,50000,4,94
Castilla-La Mancha,Cuenca,Chalet,72000,1,259
Castilla-La Mancha,Cuenca,Piso,128000,2,80
Castilla-La Mancha,Cuenca,Chalet,60000,1,120
Castilla-La Mancha,Cuenca,Chalet,450000,7,838
Castilla-La Mancha,Cuenca,Piso,115000,3,118
Castilla-La Mancha,Cuenca,Chalet,70000,3,276
Castilla-La Mancha,Cuenca,Chalet,500000,4,285
Castilla-La Mancha,Cuenca,Piso,128000,3,93
Castilla-La Mancha,Cuenca,Piso,110000,4,110
Castilla-La Mancha,Cuenca,Chalet,46000,4,160
Castilla-La Mancha,Cuenca,Chalet,83000,9,560
Castilla-La Mancha,Cuenca,Chalet,18000,3,127
Castilla-La Mancha,Cuenca,Casa,215000,4,0
Castilla-La Mancha,Cuenca,Piso,125000,3,123
Castilla-La Mancha,Cuenca,Chalet,95000,3,100
Castilla-La Mancha,Cuenca,Piso,65000,2,101
Castilla-La Mancha,Cuenca,Piso,130000,4,110
Castilla-La Mancha,Cuenca,Chalet,103000,4,109
Castilla-La Mancha,Cuenca,Piso,96000,3,105
Castilla-La Mancha,Cuenca,Piso,69000,3,115
Castilla-La Mancha,Cuenca,Chalet,48500,4,167
Castilla-La Mancha,Cuenca,Chalet,55000,5,160
Castilla-La Mancha,Cuenca,Chalet,43000,2,80
Castilla-La Mancha,Cuenca,Piso,140000,3,128
Castilla-La Mancha,Cuenca,Chalet,197500,3,350
Castilla-La Mancha,Cuenca,Piso,65900,3,110
Castilla-La Mancha,Cuenca,Chalet,265000,4,151
Castilla-La Mancha,Cuenca,Chalet,279000,4,215
Castilla-La Mancha,Cuenca,Chalet,98500,3,140
Castilla-La Mancha,Cuenca,Chalet,90000,4,115
Castilla-La Mancha,Cuenca,Chalet,110000,6,220
Castilla-La Mancha,Cuenca,Casa,170000,3,230
Castilla-La Mancha,Cuenca,Piso,179000,2,104
Castilla-La Mancha,Cuenca,Casa,139800,3,220
Castilla-La Mancha,Cuenca,Chalet,32000,3,176
Castilla-La Mancha,Cuenca,Chalet,112990,3,148
Castilla-La Mancha,Cuenca,Chalet,33000,5,201
Castilla-La Mancha,Cuenca,Chalet,540000,6,540
Castilla-La Mancha,Cuenca,Chalet,150000,8,505
Castilla-La Mancha,Cuenca,Piso,48500,3,103
Castilla-La Mancha,Cuenca,Chalet,130000,3,190
Castilla-La Mancha,Cuenca,Chalet,82500,1,190
Castilla-La Mancha,Cuenca,Piso,78000,5,126
Castilla-La Mancha,Cuenca,Piso,75000,3,118
Castilla-La Mancha,Cuenca,Chalet,115000,5,223
Castilla-La Mancha,Cuenca,Piso,187500,5,135
Castilla-La Mancha,Cuenca,Chalet,315000,3,221
Castilla-La Mancha,Cuenca,Chalet,299000,5,600
Castilla-La Mancha,Cuenca,Chalet,79000,5,280
Castilla-La Mancha,Cuenca,Piso,164000,4,106
Castilla-La Mancha,Cuenca,Chalet,49900,3,120
Castilla-La Mancha,Cuenca,Chalet,250000,6,186
Castilla-La Mancha,Cuenca,Chalet,28500,1,125
Castilla-La Mancha,Cuenca,Chalet,49900,4,142
Castilla-La Mancha,Cuenca,Chalet,300000,4,265
Castilla-La Mancha,Cuenca,Chalet,700000,5,435
Castilla-La Mancha,Cuenca,Casa,50000,4,280
Castilla-La Mancha,Cuenca,Chalet,60,5,400
Castilla-La Mancha,Cuenca,Chalet,225000,3,556
Castilla-La Mancha,Cuenca,Chalet,309000,8,542
Castilla-La Mancha,Cuenca,Chalet,470000,7,980
Castilla-La Mancha,Cuenca,Chalet,92000,4,120
Castilla-La Mancha,Cuenca,Dúplex,160000,2,77
Castilla-La Mancha,Cuenca,Chalet,59000,3,190
Castilla-La Mancha,Cuenca,Casa,115000,4,320
Castilla-La Mancha,Cuenca,Piso,34000,4,133
Castilla-La Mancha,Cuenca,Chalet,1795000,7,350
Castilla-La Mancha,Cuenca,Chalet,265000,4,285
Castilla-La Mancha,Cuenca,Piso,175000,4,138
Castilla-La Mancha,Cuenca,Chalet,65000,1,281
Castilla-La Mancha,Cuenca,Piso,60000,3,91
Castilla-La Mancha,Cuenca,Chalet,50000,3,180
Castilla-La Mancha,Cuenca,Chalet,169900,3,122
Castilla-La Mancha,Cuenca,Chalet,135000,3,469
Castilla-La Mancha,Cuenca,Chalet,170000,6,500
Castilla-La Mancha,Cuenca,Chalet,79000,4,257
Castilla-La Mancha,Cuenca,Chalet,81500,3,131
Castilla-La Mancha,Cuenca,Chalet,88000,4,138
Castilla-La Mancha,Cuenca,Chalet,90200,3,157
Castilla-La Mancha,Cuenca,Chalet,79990,3,155
Castilla-La Mancha,Cuenca,Chalet,75000,4,138
Castilla-La Mancha,Cuenca,Chalet,300000,3,234
Castilla-La Mancha,Cuenca,Piso,59000,3,53
Castilla-La Mancha,Cuenca,Chalet,120000,5,268
Castilla-La Mancha,Cuenca,Chalet,95000,4,164
Castilla-La Mancha,Cuenca,Piso,85000,3,90
Castilla-La Mancha,Cuenca,Piso,100000,3,108
Castilla-La Mancha,Cuenca,Chalet,217000,4,350
Castilla-La Mancha,Cuenca,Casa,240000,4,828
Castilla-La Mancha,Cuenca,Piso,42000,4,136
Castilla-La Mancha,Cuenca,Piso,120000,1,79
Castilla-La Mancha,Cuenca,Piso,200000,3,110
Castilla-La Mancha,Cuenca,Chalet,37000,3,126
Castilla-La Mancha,Cuenca,Piso,130000,2,121
Castilla-La Mancha,Cuenca,Casa,150000,5,198
Castilla-La Mancha,Cuenca,Chalet,90000,4,138
Castilla-La Mancha,Cuenca,Chalet,199000,6,400
Castilla-La Mancha,Cuenca,Piso,92000,3,81
Castilla-La Mancha,Cuenca,Casa,60000,5,168
Castilla-La Mancha,Cuenca,Chalet,450000,7,338
Castilla-La Mancha,Cuenca,Piso,120000,3,117
Castilla-La Mancha,Cuenca,Chalet,190000,3,168
Castilla-La Mancha,Cuenca,Dúplex,127000,2,90
Castilla-La Mancha,Cuenca,Piso,29000,2,87
Castilla-La Mancha,Cuenca,Piso,195000,3,119
Castilla-La Mancha,Cuenca,Chalet,315000,5,268
Castilla-La Mancha,Cuenca,Casa,170000,3,159
Castilla-La Mancha,Cuenca,Casa,65000,6,180
Castilla-La Mancha,Cuenca,Chalet,135000,3,200
Castilla-La Mancha,Cuenca,Chalet,118000,9,527
Castilla-La Mancha,Cuenca,Chalet,1000000,6,242
Castilla-La Mancha,Cuenca,Chalet,94500,4,100
Castilla-La Mancha,Cuenca,Piso,187000,3,90
Castilla-La Mancha,Cuenca,Chalet,89600,3,154
Castilla-La Mancha,Cuenca,Piso,75000,3,115
Castilla-La Mancha,Cuenca,Piso,120000,3,90
Castilla-La Mancha,Cuenca,Piso,119900,3,90
Castilla-La Mancha,Cuenca,Chalet,60000,7,354
Castilla-La Mancha,Cuenca,Piso,80000,1,55
Castilla-La Mancha,Cuenca,Casa,38000,4,176
Castilla-La Mancha,Cuenca,Piso,140000,4,100
Castilla-La Mancha,Cuenca,Chalet,34000,4,172
Castilla-La Mancha,Cuenca,Chalet,11000,3,80
Castilla-La Mancha,Cuenca,Chalet,38800,4,282
Castilla-La Mancha,Cuenca,Piso,150000,4,119
Castilla-La Mancha,Cuenca,Chalet,67000,2,120
Castilla-La Mancha,Cuenca,Chalet,64200,3,182
Castilla-La Mancha,Cuenca,Chalet,20000,3,79
Castilla-La Mancha,Cuenca,Chalet,400000,6,273
Castilla-La Mancha,Cuenca,Piso,140000,5,150
Castilla-La Mancha,Cuenca,Chalet,130000,2,182
Castilla-La Mancha,Cuenca,Piso,25000,2,60
Castilla-La Mancha,Cuenca,Casa,107000,1,214
Castilla-La Mancha,Cuenca,Chalet,200000,4,237
Castilla-La Mancha,Cuenca,Chalet,84000,4,138
Castilla-La Mancha,Cuenca,Dúplex,58000,1,74
Castilla-La Mancha,Cuenca,Piso,119900,4,107
Castilla-La Mancha,Cuenca,Chalet,55000,2,118
Castilla-La Mancha,Cuenca,Piso,35000,4,138
Castilla-La Mancha,Cuenca,Chalet,140000,5,157
Castilla-La Mancha,Cuenca,Piso,69000,1,57
Castilla-La Mancha,Cuenca,Chalet,180000,5,169
Castilla-La Mancha,Cuenca,Chalet,99000,5,199
Castilla-La Mancha,Cuenca,Piso,179000,4,204
Castilla-La Mancha,Cuenca,Chalet,170000,6,373
Castilla-La Mancha,Cuenca,Chalet,65,5,140
Castilla-La Mancha,Cuenca,Chalet,300000,5,400
Castilla-La Mancha,Cuenca,Piso,130500,3,90
Castilla-La Mancha,Cuenca,Chalet,57900,4,134
Castilla-La Mancha,Cuenca,Piso,58000,4,120
Castilla-La Mancha,Cuenca,Piso,159000,3,120
Castilla-La Mancha,Cuenca,Chalet,80000,5,257
Castilla-La Mancha,Cuenca,Chalet,43000,1,104
Castilla-La Mancha,Cuenca,Piso,170000,4,128
Castilla-La Mancha,Cuenca,Piso,79900,3,76
Castilla-La Mancha,Cuenca,Chalet,149500,7,430
Castilla-La Mancha,Cuenca,Chalet,4000,1,111
Castilla-La Mancha,Cuenca,Chalet,122000,2,102
Castilla-La Mancha,Cuenca,Chalet,101000,3,75
Castilla-La Mancha,Cuenca,Chalet,53000,4,88
Castilla-La Mancha,Cuenca,Chalet,140000,5,156
Castilla-La Mancha,Cuenca,Piso,187000,5,143
Castilla-La Mancha,Cuenca,Chalet,47000,3,170
Castilla-La Mancha,Cuenca,Piso,63000,3,55
Castilla-La Mancha,Cuenca,Chalet,88000,6,184
Castilla-La Mancha,Cuenca,Chalet,72,4,138
Castilla-La Mancha,Cuenca,Piso,119400,2,67
Castilla-La Mancha,Cuenca,Piso,18000,3,42
Castilla-La Mancha,Cuenca,Piso,189000,4,125
Castilla-La Mancha,Cuenca,Chalet,97600,4,436
Castilla-La Mancha,Cuenca,Chalet,67900,4,164
Castilla-La Mancha,Cuenca,Dúplex,130000,3,98
Castilla-La Mancha,Cuenca,Chalet,45000,4,115
Castilla-La Mancha,Cuenca,Piso,153000,4,132
Castilla-La Mancha,Cuenca,Chalet,309800,6,332
Castilla-La Mancha,Cuenca,Chalet,50000,8,126
Castilla-La Mancha,Cuenca,Piso,215000,3,102
Castilla-La Mancha,Cuenca,Chalet,107000,4,120
Castilla-La Mancha,Cuenca,Chalet,149000,5,480
Castilla-La Mancha,Cuenca,Chalet,70000,4,425
Castilla-La Mancha,Cuenca,Chalet,160000,6,360
Castilla-La Mancha,Cuenca,Chalet,45000,4,196
Castilla-La Mancha,Cuenca,Casa,99000,1,180
Castilla-La Mancha,Cuenca,Chalet,140000,3,350
Castilla-La Mancha,Cuenca,Chalet,28000,7,185
Castilla-La Mancha,Cuenca,Piso,85000,3,80
Castilla-La Mancha,Cuenca,Piso,96000,1,99
Castilla-La Mancha,Cuenca,Chalet,275000,4,120
Castilla-La Mancha,Cuenca,Chalet,75000,4,203
Castilla-La Mancha,Cuenca,Chalet,39000,3,206
Castilla-La Mancha,Cuenca,Chalet,173000,4,190
Castilla-La Mancha,Cuenca,Piso,175000,3,105
Castilla-La Mancha,Cuenca,Chalet,128000,3,180
Castilla-La Mancha,Cuenca,Chalet,68000,1,315
Castilla-La Mancha,Cuenca,Chalet,228000,8,421
Castilla-La Mancha,Cuenca,Caserón,1500000,12,532
Castilla-La Mancha,Cuenca,Chalet,142000,5,194
Castilla-La Mancha,Cuenca,Chalet,100000,6,203
Castilla-La Mancha,Cuenca,Piso,106000,1,58
Castilla-La Mancha,Cuenca,Dúplex,150000,2,96
Castilla-La Mancha,Cuenca,Piso,175900,4,160
