com. autonoma,provincia,descripción,precio,habitaciones,m²
Andalucía,Cádiz,Ático,1150000,6,320
Andalucía,Cádiz,Chalet,795000,5,360
Andalucía,Cádiz,Chalet,350000,2,330
Andalucía,Cádiz,Chalet,575000,4,241
Andalucía,Cádiz,Piso,735000,4,128
Andalucía,Cádiz,Piso,205000,3,156
Andalucía,Cádiz,Chalet,675000,5,253
Andalucía,Cádiz,Piso,710000,3,299
Andalucía,Cádiz,Chalet,1775000,6,75
Andalucía,Cádiz,Dúplex,415000,3,206
Andalucía,Cádiz,Chalet,4515000,5,720
Andalucía,Cádiz,Chalet,3500000,14,183
Andalucía,Cádiz,Dúplex,298000,2,76
Andalucía,Cádiz,Chalet,905000,5,298
Andalucía,Cádiz,Chalet,299000,3,146
Andalucía,Cádiz,Piso,395000,2,89
Andalucía,Cádiz,Piso,490000,3,120
Andalucía,Cádiz,Chalet,1500000,4,339
Andalucía,Cádiz,Chalet,1350000,5,300
Andalucía,Cádiz,Chalet,950000,5,502
Andalucía,Cádiz,Chalet,425000,3,118
Andalucía,Cádiz,Chalet,450000,4,226
Andalucía,Cádiz,Chalet,770000,5,164
Andalucía,Cádiz,Chalet,450000,4,139
Andalucía,Cádiz,Chalet,165000,2,212
Andalucía,Cádiz,Chalet,500000,3,124
Andalucía,Cádiz,Chalet,375000,4,270
Andalucía,Cádiz,Chalet,300000,5,98
Andalucía,Cádiz,Chalet,659000,4,229
Andalucía,Cádiz,Chalet,299000,3,115
Andalucía,Cádiz,Piso,118998,2,80
Andalucía,Cádiz,Piso,245000,2,106
Andalucía,Cádiz,Piso,450000,3,110
Andalucía,Cádiz,Chalet,530000,4,197
Andalucía,Cádiz,Piso,135000,2,64
Andalucía,Cádiz,Piso,315000,3,100
Andalucía,Cádiz,Chalet,410000,3,200
Andalucía,Cádiz,Chalet,950000,4,340
Andalucía,Cádiz,Chalet,795000,5,250
Andalucía,Cádiz,Chalet,500000,4,130
Andalucía,Cádiz,Chalet,295000,3,110
Andalucía,Cádiz,Piso,200000,2,70
Andalucía,Cádiz,Chalet,390000,3,120
Andalucía,Cádiz,Piso,145000,2,52
Andalucía,Cádiz,Chalet,520000,4,181
Andalucía,Cádiz,Piso,310000,3,130
Andalucía,Cádiz,Ático,108000,1,78
