com. autonoma,provincia,descripción,precio,habitaciones,m²
Andalucía,Granada,Piso,595000,3,142
Andalucía,Granada,Piso,188500,2,94
Andalucía,Granada,Piso,280000,3,93
Andalucía,Granada,Piso,132900,3,83
Andalucía,Granada,Chalet,189000,2,102
Andalucía,Granada,Piso,210000,3,84
Andalucía,Granada,Piso,152000,4,130
Andalucía,Granada,Piso,199000,3,87
Andalucía,Granada,Piso,141000,1,58
Andalucía,Granada,Piso,350000,4,143
Andalucía,Granada,Piso,149900,3,95
Andalucía,Granada,Piso,450000,4,176
Andalucía,Granada,Dúplex,119900,3,109
Andalucía,Granada,Piso,179900,3,100
Andalucía,Granada,Piso,220000,3,99
Andalucía,Granada,Piso,160000,3,85
Andalucía,Granada,Piso,139900,3,93
Andalucía,Granada,Piso,89900,2,76
Andalucía,Granada,Piso,295000,4,92
Andalucía,Granada,Ático,450000,3,103
Andalucía,Granada,Piso,205000,3,111
Andalucía,Granada,Piso,124900,3,76
Andalucía,Granada,Piso,66900,2,69
Andalucía,Granada,Chalet,548000,5,400
Andalucía,Granada,Chalet,750000,5,700
Andalucía,Granada,Piso,118000,1,46
Andalucía,Granada,Piso,180000,3,111
Andalucía,Granada,Piso,420000,4,194
Andalucía,Granada,Piso,250000,5,125
Andalucía,Granada,Chalet,189000,3,145
Andalucía,Granada,Piso,298000,3,123
Andalucía,Granada,Piso,270000,3,95
Andalucía,Granada,Piso,198000,4,99
Andalucía,Granada,Chalet,690000,3,380
Andalucía,Granada,Piso,135000,2,90
Andalucía,Granada,Ático,299900,3,126
Andalucía,Granada,Piso,180000,3,86
Andalucía,Granada,Chalet,265000,4,280
Andalucía,Granada,Chalet,105000,6,251
Andalucía,Granada,Chalet,299500,5,386
Andalucía,Granada,Chalet,560000,7,300
Andalucía,Granada,Chalet,249500,4,270
Andalucía,Granada,Chalet,244900,4,280
Andalucía,Granada,Chalet,230000,2,161
Andalucía,Granada,Chalet,499990,8,496
Andalucía,Granada,Ático,129500,1,160
Andalucía,Granada,Chalet,229900,3,220
Andalucía,Granada,Piso,287900,4,132
Andalucía,Granada,Chalet,254600,4,250
Andalucía,Granada,Piso,179000,3,76
Andalucía,Granada,Ático,147000,2,78
Andalucía,Granada,Ático,163000,4,130
Andalucía,Granada,Chalet,465120,4,348
Andalucía,Granada,Piso,273300,3,88
Andalucía,Granada,Piso,349000,5,216
Andalucía,Granada,Chalet,149000,3,169
Andalucía,Granada,Piso,169500,3,87
Andalucía,Granada,Piso,395000,4,189
Andalucía,Granada,Piso,190000,3,94
Andalucía,Granada,Piso,475000,5,210
Andalucía,Granada,Chalet,269500,4,315
Andalucía,Granada,Piso,179500,2,69
Andalucía,Granada,Piso,109000,2,72
Andalucía,Granada,Chalet,294000,4,250
Andalucía,Granada,Chalet,589000,8,383
Andalucía,Granada,Piso,339000,5,164
Andalucía,Granada,Piso,197000,2,114
Andalucía,Granada,Piso,349000,4,140
Andalucía,Granada,Chalet,330000,3,189
Andalucía,Granada,Piso,219000,4,127
Andalucía,Granada,Piso,180000,1,63
Andalucía,Granada,Chalet,165000,3,196
Andalucía,Granada,Piso,168000,4,115
Andalucía,Granada,Piso,450000,4,154
Andalucía,Granada,Piso,419900,6,184
Andalucía,Granada,Chalet,189000,4,127
Andalucía,Granada,Chalet,279000,5,360
Andalucía,Granada,Piso,249500,2,103
Andalucía,Granada,Piso,189000,3,102
Andalucía,Granada,Chalet,338000,10,345
Andalucía,Granada,Chalet,239000,4,200
Andalucía,Granada,Chalet,197000,3,120
Andalucía,Granada,Piso,152000,3,110
Andalucía,Granada,Piso,145000,4,82
Andalucía,Granada,Piso,169000,4,89
Andalucía,Granada,Piso,114000,2,76
Andalucía,Granada,Piso,395000,5,162
