com. autonoma,provincia,descripción,precio,habitaciones,m²
Comunidad de Madrid,Madrid,Piso,2390000,4,438
Comunidad de Madrid,Madrid,Chalet,1690000,6,290
Comunidad de Madrid,Madrid,Chalet,1950000,5,289
Comunidad de Madrid,Madrid,Piso,224900,2,94
Comunidad de Madrid,Madrid,Chalet,1999000,6,98
Comunidad de Madrid,Madrid,Piso,174000,3,105
Comunidad de Madrid,Madrid,Piso,525000,2,75
Comunidad de Madrid,Madrid,Chalet,1350000,4,119
Comunidad de Madrid,Madrid,Chalet,2480000,6,94
Comunidad de Madrid,Madrid,Piso,174900,3,54
Comunidad de Madrid,Madrid,Piso,425000,2,286
Comunidad de Madrid,Madrid,Piso,940000,4,71
Comunidad de Madrid,Madrid,Chalet,772000,6,278
Comunidad de Madrid,Madrid,Chalet,1195000,7,65
Comunidad de Madrid,Madrid,Chalet,3500000,5,403
Comunidad de Madrid,Madrid,Chalet,995792,4,75
Comunidad de Madrid,Madrid,Chalet,1265000,5,72
Comunidad de Madrid,Madrid,Piso,1150000,4,64
Comunidad de Madrid,Madrid,Chalet,1500000,4,255
Comunidad de Madrid,Madrid,Chalet,6000000,6,100
Comunidad de Madrid,Madrid,Chalet,333500,5,294
Comunidad de Madrid,Madrid,Piso,1795000,4,332
Comunidad de Madrid,Madrid,Chalet,2250000,6,277
Comunidad de Madrid,Madrid,Chalet,1700000,6,82
Comunidad de Madrid,Madrid,Piso,540000,3,259
Comunidad de Madrid,Madrid,Piso,3700000,5,436
Comunidad de Madrid,Madrid,Chalet,1150000,4,64
Comunidad de Madrid,Madrid,Piso,1125000,4,81
Comunidad de Madrid,Madrid,Piso,4260000,7,225
Comunidad de Madrid,Madrid,Piso,1975000,3,50
Comunidad de Madrid,Madrid,Piso,1300000,5,98
Comunidad de Madrid,Madrid,Piso,199000,3,182
Comunidad de Madrid,Madrid,Chalet,1450000,6,77
Comunidad de Madrid,Madrid,Piso,310000,2,354
Comunidad de Madrid,Madrid,Piso,2700000,4,68
Comunidad de Madrid,Madrid,Piso,1100000,4,45
Comunidad de Madrid,Madrid,Chalet,1495000,4,238
Comunidad de Madrid,Madrid,Chalet,1950000,8,95
Comunidad de Madrid,Madrid,Piso,995000,3,91
Comunidad de Madrid,Madrid,Piso,619000,2,299
Comunidad de Madrid,Madrid,Duplex,595000,3,63
Comunidad de Madrid,Madrid,Chalet,4500000,5,475
Comunidad de Madrid,Madrid,Piso,1250000,2,212
Comunidad de Madrid,Madrid,Chalet,3750000,6,92
Comunidad de Madrid,Madrid,Piso,1300000,5,81
Comunidad de Madrid,Madrid,Ático,830000,2,72
Comunidad de Madrid,Madrid,Chalet,3650000,5,243
Comunidad de Madrid,Madrid,Piso,2600000,3,195
Comunidad de Madrid,Madrid,Piso,395000,3,99
Comunidad de Madrid,Madrid,Chalet,900000,5,72
Comunidad de Madrid,Madrid,Piso,309000,3,329
Comunidad de Madrid,Madrid,Piso,1800000,4,85
Comunidad de Madrid,Madrid,Chalet,2400000,4,145
Comunidad de Madrid,Madrid,Piso,1300000,8,318
Comunidad de Madrid,Madrid,Chalet,2200000,5,104
Comunidad de Madrid,Madrid,Piso,344900,1,66
Comunidad de Madrid,Madrid,Piso,399000,3,84
Comunidad de Madrid,Madrid,Chalet,2200000,5,61
Comunidad de Madrid,Madrid,Piso,1500000,5,218
Comunidad de Madrid,Madrid,Piso,2600000,3,423
Comunidad de Madrid,Madrid,Piso,657250,2,298
Comunidad de Madrid,Madrid,Piso,247500,1,70
Comunidad de Madrid,Madrid,Chalet,2990000,5,273
Comunidad de Madrid,Madrid,Ático,690000,2,45
Comunidad de Madrid,Madrid,Piso,330000,2,71
Comunidad de Madrid,Madrid,Chalet,1399000,3,380
Comunidad de Madrid,Madrid,Chalet,6500000,5,252
Comunidad de Madrid,Madrid,Piso,1350000,3,85
Comunidad de Madrid,Madrid,Piso,439000,2,61
Comunidad de Madrid,Madrid,Piso,149000,1,93
Comunidad de Madrid,Madrid,Chalet,698000,3,81
Comunidad de Madrid,Madrid,Piso,305000,1,236
Comunidad de Madrid,Madrid,Chalet,2380000,7,221
Comunidad de Madrid,Madrid,Chalet,1950000,6,203
Comunidad de Madrid,Madrid,Chalet,1600000,7,487
Comunidad de Madrid,Madrid,Piso,4200000,4,79
Comunidad de Madrid,Madrid,Piso,234000,1,221
Comunidad de Madrid,Madrid,Chalet,1280000,4,65
Comunidad de Madrid,Madrid,Piso,360000,2,327
Comunidad de Madrid,Madrid,Chalet,4000000,7,97
Comunidad de Madrid,Madrid,Piso,710000,2,324
Comunidad de Madrid,Madrid,Piso,759000,3,231
Comunidad de Madrid,Madrid,Chalet,3300000,6,205
Comunidad de Madrid,Madrid,Piso,1340000,3,277
Comunidad de Madrid,Madrid,Chalet,2199900,5,97
Comunidad de Madrid,Madrid,Piso,1290000,3,80
Comunidad de Madrid,Madrid,Piso,1180000,4,83
Comunidad de Madrid,Madrid,Piso,835000,2,219
Comunidad de Madrid,Madrid,Piso,790000,3,174
Comunidad de Madrid,Madrid,Piso,635000,2,62
Comunidad de Madrid,Madrid,Chalet,1050000,5,95
Comunidad de Madrid,Madrid,Piso,250000,3,54
Comunidad de Madrid,Madrid,Duplex,1145000,6,288
Comunidad de Madrid,Madrid,Chalet,2600000,7,62
Comunidad de Madrid,Madrid,Piso,699000,3,280
Comunidad de Madrid,Madrid,Piso,359900,3,398
Comunidad de Madrid,Madrid,Piso,1490000,4,235
Comunidad de Madrid,Madrid,Piso,1650000,2,250
Comunidad de Madrid,Madrid,Chalet,3100000,5,282
Comunidad de Madrid,Madrid,Duplex,1050000,4,406
Comunidad de Madrid,Madrid,Piso,1052000,3,46
Comunidad de Madrid,Madrid,Chalet,750000,7,84
Comunidad de Madrid,Madrid,Duplex,769000,2,67
Comunidad de Madrid,Madrid,Piso,1190000,4,73
Comunidad de Madrid,Madrid,Piso,619000,3,322
Comunidad de Madrid,Madrid,Piso,800000,4,67
Comunidad de Madrid,Madrid,Piso,1400000,3,300
Comunidad de Madrid,Madrid,Chalet,1200000,6,87
Comunidad de Madrid,Madrid,Chalet,780000,5,239
Comunidad de Madrid,Madrid,Duplex,985000,3,246
Comunidad de Madrid,Madrid,Chalet,3500000,8,80
Comunidad de Madrid,Madrid,Duplex,980000,4,106
Comunidad de Madrid,Madrid,Chalet,3700000,7,84
Comunidad de Madrid,Madrid,Piso,1350000,3,246
Comunidad de Madrid,Madrid,Chalet,950000,4,232
Comunidad de Madrid,Madrid,Piso,1900000,4,93
Comunidad de Madrid,Madrid,Chalet,1590000,6,289
Comunidad de Madrid,Madrid,Chalet,2000000,5,68
Comunidad de Madrid,Madrid,Duplex,800000,3,80
Comunidad de Madrid,Madrid,Chalet,2850000,6,57
Comunidad de Madrid,Madrid,Piso,5200000,4,294
Comunidad de Madrid,Madrid,Piso,340000,2,241
Comunidad de Madrid,Madrid,Piso,1795000,4,389
Comunidad de Madrid,Madrid,Piso,849000,2,238
Comunidad de Madrid,Madrid,Ático,1175000,4,60
Comunidad de Madrid,Madrid,Chalet,9800000,9,97
Comunidad de Madrid,Madrid,Ático,2450000,4,216
Comunidad de Madrid,Madrid,Piso,2000000,3,210
Comunidad de Madrid,Madrid,Piso,1085000,3,223
Comunidad de Madrid,Madrid,Chalet,7000000,7,312
Comunidad de Madrid,Madrid,Chalet,3950000,8,115
Comunidad de Madrid,Madrid,Duplex,1180000,5,61
Comunidad de Madrid,Madrid,Chalet,1200000,6,88
Comunidad de Madrid,Madrid,Piso,3500000,7,92
Comunidad de Madrid,Madrid,Piso,155000,3,111
Comunidad de Madrid,Madrid,Piso,680000,3,249
Comunidad de Madrid,Madrid,Piso,950000,3,200
Comunidad de Madrid,Madrid,Piso,169500,2,248
